Title,date,detailURL,views
[대학혁신지원사업] 학습자 맞춤형 교육지원시스템(CAU e-Adv..,2021.03.10,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1988&search=&keyword=&temp1=&offset=1,370
[창업] 온라인 SW·AI 창업 특강(창업자금 조달과 투자) 안내,2021.03.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1986&search=&keyword=&temp1=&offset=1,338
2020실험실습비집행내역서 및 2021실험실습비사용계획서 공.. NEW,2021.03.30,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1998&search=&keyword=&temp1=&offset=1,28
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
"코로나19 예방접종 국민행동수칙, 2분기 시행계획 및 이상..",2021.03.22,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1993&search=&keyword=&temp1=&offset=1,163
컴퓨터공학부 / 컴퓨터공학전공 / 소프트웨어학부 복수전..,2021.03.22,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1994&search=&keyword=&temp1=&offset=1,359
2021년도 제15회 TOPCIT 정기평가 응시료 지원 안내,2021.03.29,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1997&search=&keyword=&temp1=&offset=1,55
2021-1학기 SW융합 튜터링 “SW Help Desk” 프로그램 운영 안내,2021.03.18,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1992&search=&keyword=&temp1=&offset=1,296
2021 공학교육 인증 안내서,2021.03.15,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1989&search=&keyword=&temp1=&offset=1,261
[대학혁신지원사업] 학습자 맞춤형 교육지원시스템(CAU e-Adv..,2021.03.10,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1988&search=&keyword=&temp1=&offset=1,370
전공학습튜터링 “온라인 코딩 Help Desk” 프로그램 운영 안..,2021.03.15,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1990&search=&keyword=&temp1=&offset=1,274
2021학년도 1학기 강의 Feedback 실시 안내,2021.03.16,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1991&search=&keyword=&temp1=&offset=1,243
2021학년도 1학기 수강신청(학부) 일정 안내,2020.12.16,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1933&search=&keyword=&temp1=&offset=5,811
